序号,费用类型,发生日期,开票日期,业务日期,发票号码,销售方,项目说明,报销金额(元),税额(元),重点标注,付款凭证来源,付款时间,付款匹配金额(元),付款凭证说明(参考),附件
1,高铁发票,2026-03-15,2026-06-10,2026-03-15,26429165800003361940,中国铁路 / 铁路电子客票,武汉站 -> 虎门站 G387 16:02开 二等座 03车15F号,587.50,,,去哪儿旅行付款截图,2026-03-14 15:33,587.50,第1程二等座成人票；与同订单第2程合并支付。,电子发票-2cu0212000ss2lh8eE15F.pdf
2,高铁发票,2026-03-15,2026-06-10,2026-03-15,26449165854000430159,中国铁路 / 铁路电子客票,虎门站 -> 深圳北站 G387 19:50开 二等座 10车13B号,39.50,,,去哪儿旅行付款截图,2026-03-14 15:33,39.50,第2程二等座成人票；与同订单第1程合并支付。,电子发票-2cu6012000ss2llrw5C5F.pdf
3,高铁发票,2026-03-29,2026-06-10,2026-03-29,26449165860003132117,中国铁路 / 铁路电子客票,深圳北站 -> 武汉站 G392 11:33开 二等座 14车17D号,627.50,,,去哪儿旅行付款截图,,627.50,出票完成页与订单列表页匹配。,电子发票-2cu4i12000srb0scqA375.pdf
4,酒店发票,2026-03-06,2026-03-21,,26422000000985636516,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,367.36,20.79,,酒店订单截图,,367.36,城际高级房-双床 1间，共1晚。,dzfp_26422000000985636516_武汉非凡互动网络科技有限公司_20260321135940.pdf
5,酒店发票,2026-03-07,2026-03-21,,26422000000985636321,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,395.12,22.37,,酒店订单截图,,395.12,城际高级房-双床 1间，共1晚。,dzfp_26422000000985636321_武汉非凡互动网络科技有限公司_20260321135935.pdf
6,酒店发票,2026-03-08,2026-03-21,,26422000000985743976,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,358.64,20.30,,酒店订单截图,,358.64,城际高级房-双床 1间，共1晚。,dzfp_26422000000985743976_武汉非凡互动网络科技有限公司_20260321135942.pdf
7,酒店发票,2026-03-09,2026-03-21,,26422000000986170411,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,377.52,21.37,,酒店订单截图,,377.52,城际高级房-双床 1间，共1晚。,dzfp_26422000000986170411_武汉非凡互动网络科技有限公司_20260321135939.pdf
8,酒店发票,2026-03-10,2026-03-21,,26422000000986565766,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,384.52,21.77,,酒店订单截图,,384.52,城际高级房-双床 1间，共1晚。,dzfp_26422000000986565766_武汉非凡互动网络科技有限公司_20260321135937.pdf
9,酒店发票,2026-03-11,2026-03-21,,26422000000986565721,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,356.72,20.19,,酒店订单截图,,356.72,城际双床房 1间，共1晚。,dzfp_26422000000986565721_武汉非凡互动网络科技有限公司_20260321135934.pdf
10,酒店发票,2026-03-12,2026-03-21,,26422000000986316226,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,376.52,21.31,,酒店订单截图,,376.52,城际高级房-双床 1间，共1晚。,dzfp_26422000000986316226_武汉非凡互动网络科技有限公司_20260321135936.pdf
11,酒店发票,2026-03-13,2026-03-21,,26422000000985743646,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,395.12,22.37,,酒店订单截图,,395.12,城际高级房-双床 1间，共1晚。,dzfp_26422000000985743646_武汉非凡互动网络科技有限公司_20260321135932.pdf
12,酒店发票,2026-03-29,2026-06-10,,26422000002063564656,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,755.04,42.74,重点：2晚及以上,酒店订单截图,,755.04,城际高级房-双床 1间，共2晚。,dzfp_26422000002063564656_武汉非凡互动网络科技有限公司_20260610001954.pdf
13,酒店发票,2026-03-31,2026-06-10,,26422000002062895551,汉庭星空（上海）酒店管理有限公司禧玥武汉关山大道分公司,住宿费,786.04,44.49,重点：2晚及以上,酒店订单截图,,786.04,城际高级房-双床 1间，共2晚。,dzfp_26422000002062895551_武汉非凡互动网络科技有限公司_20260610001955.pdf
